table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.94,0.93,0.97,0.84,0.86,1.1,0.86,0.82,1.06,0.88,1.24,0.81,0.81,0.81,0.54,0.57,0.75,0.42,0.87,1.31,0.56,0.69,0.89,1.11,0,-,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,121,55,66,22,18,34,23,13,16,13,44,29,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,121,53*,67*,23**,17**,35**,20**,12**,17**,13**,42*,30**,21**,28**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,26,16,10,5,2,5,6,4,4,2,14,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,7,2,5,2,-,-,1,1,2,1,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 15th to 17th May 2020,4,19,14,5,3,2,5,4,3,3,1,11,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 15th to 17th May 2020,3,52,22,30,10,8,13,10,5,6,7,16,16,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 15th to 17th May 2020,2,31,8,23,6,6,13,4,2,4,2,10,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 15th to 17th May 2020,1 - Do not trust at all,11,7,5,2,2,3,1,1,3,1,2,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 15th to 17th May 2020,NET: Do not trust,43,15,28,8,8,16,5,3,7,4,13,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 15th to 17th May 2020,Mean,2.82,2.92,2.74,2.85,2.52,2.59,3.08,3.03,2.78,2.84,3.05,2.64,2.62,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,1,1.04,0.96,1.03,0.84,0.87,0.96,1.06,1.23,0.99,1.02,0.92,1.14,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,102,53,49,14,12,29,21,21,10,7,28,34,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,102*,54*,47*,20**,16**,32**,18**,16**,9**,7**,29**,32**,18**,23**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,22,10,12,2,1,6,1,6,4,2,5,8,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,6,3,4,-,-,2,1,2,-,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 29th to 31st May 2020,4,16,7,9,2,1,4,-,4,4,1,4,7,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 29th to 31st May 2020,3,33,20,13,3,3,13,9,5,2,1,10,12,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 29th to 31st May 2020,2,30,16,15,12,11,8,4,4,1,1,8,7,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,16,9,7,2,2,5,4,1,2,2,6,6,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,46,25,22,14,13,13,8,5,3,4,14,12,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 29th to 31st May 2020,Mean,2.66,2.6,2.73,2.28,2.12,2.72,2.48,3.18,2.85,2.52,2.56,2.74,2.7,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,1.11,1.06,1.16,0.84,0.7,1.1,1.04,1.14,1.27,1.54,1.13,1.14,1.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,95,45,50,10,9,19,22,24,9,11,24,27,14,30,13,2,9,7,10,2,7,10,18,14,2,1,,20,38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,96*,42*,54*,12**,11**,21**,20**,25**,10**,8**,25**,29**,12**,29**,10**,2**,7**,10**,13**,2**,6**,9**,17**,15**,2**,1**,,21**,34*,10**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,23,6,17,2,1,2,4,6,5,5,4,3,5,12,1,-,3,4,5,-,2,2,4,2,-,-,,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,5,1,4,-,-,1,2,-,1,1,1,-,1,2,-,-,-,2,-,-,-,1,1,1,-,-,,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,4,19,5,13,2,1,*,2,6,4,3,2,3,4,10,1,-,3,2,5,-,2,1,3,1,-,-,,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,3,35,15,20,-,-,6,11,12,4,3,8,14,3,11,3,2,2,4,4,1,1,3,5,9,1,1,,10,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,2,25,12,13,6,6,6,5,8,-,1,11,6,2,5,4,-,2,2,3,-,3,3,5,3,-,-,,6,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,13,9,4,4,4,8,1,-,1,-,3,7,2,1,2,-,-,-,1,1,1,1,4,2,1,-,,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,38,21,17,10,10,13,5,8,1,1,14,13,4,6,6,-,2,2,4,1,4,4,8,4,1,-,,11,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Mean,2.76,2.46,2.99,2.06,1.88,2.14,2.98,2.93,3.35,3.63,2.5,2.4,2.98,3.26,2.35,3,3.18,3.36,3.02,1.74,2.38,2.66,2.65,2.81,1.8,3,,2.33,2.64,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,1.07,1.03,1.05,1.08,0.92,1.12,0.93,0.74,1.06,0.92,1.02,0.96,1.29,0.95,0.99,0,0.87,1.03,0.97,1.29,1.17,1.11,1.24,0.99,1.32,-,,0.86,0.98,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 134,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,63,76,95,51,56,17,50,20,23,42,58,95,3,32,10,6,41,29,,,,,,,,,,,,,,,,,,,,,
Table 134,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,96*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81*,60*,75*,96*,52*,55*,16**,49*,19**,24**,40*,59*,96*,2**,32**,9**,6**,44*,30**,,,,,,,,,,,,,,,,,,,,,
Table 134,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,16,23,10,11,3,10,4,3,6,11,23,-,7,2,-,6,12,,,,,,,,,,,,,,,,,,,,,
Table 134,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,4,1,1,1,2,1,2,3,5,-,3,-,-,2,2,,,,,,,,,,,,,,,,,,,,,
Table 134,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,19,7,10,2,9,2,2,4,8,19,-,4,2,-,5,9,,,,,,,,,,,,,,,,,,,,,
Table 134,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,22,28,35,20,18,3,15,5,5,12,22,35,-,13,5,2,12,13,,,,,,,,,,,,,,,,,,,,,
Table 134,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,13,19,25,11,16,4,14,7,6,16,19,25,2,10,1,3,15,4,,,,,,,,,,,,,,,,,,,,,
Table 134,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,10,13,13,10,11,5,11,4,9,6,7,13,-,2,2,1,10,2,,,,,,,,,,,,,,,,,,,,,
Table 134,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,23,31,38,22,26,9,25,10,16,22,26,38,2,13,3,4,26,5,,,,,,,,,,,,,,,,,,,,,
Table 134,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Mean,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.78,2.69,2.76,2.65,2.55,2.29,2.49,2.59,2.11,2.49,2.66,2.76,2,2.84,2.58,2.15,2.37,3.23,,,,,,,,,,,,,,,,,,,,,
Table 134,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,1.16,1.11,1.07,1.15,1.06,1.27,1.1,1.26,1.19,1.03,1.02,1.07,0,1.05,1.12,0.73,1.07,0.96,,,,,,,,,,,,,,,,,,,,,
Table 135,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,8,12,19,7,10,51,44,25,21,83,25,84,89,91,95,-,,,
Table 135,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,96*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17**,11**,8**,11**,19**,5**,7**,51*,44*,25**,21**,83*,24**,85*,91*,92*,96*,-**,,,
Table 135,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,2,2,6,1,4,11,9,4,1,21,4,22,22,22,23,-,,,
Table 135,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,3,1,1,2,2,2,1,5,2,5,5,5,5,-,,,
Table 135,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,1,3,*,3,9,7,2,-,16,1,18,18,17,19,-,,,
Table 135,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-,1,3,5,-,1,17,14,11,9,34,8,33,34,35,35,-,,,
Table 135,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,5,5,3,1,17,12,6,5,18,8,23,23,24,25,-,,,
Table 135,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,3,1,1,7,8,5,6,10,4,8,12,12,13,-,,,
Table 135,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,5,6,8,4,2,23,20,11,11,28,12,30,35,35,38,-,,,
Table 135,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Mean,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,2.7,2.74,2.55,2.92,2.64,3.31,2.65,2.64,2.66,2.32,2.84,2.58,2.87,2.78,2.77,2.76,-,,,
Table 135,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,1.63,1.3,1.18,1.31,1.51,1.29,1.04,1.12,1.15,1.06,1.06,1.16,1.02,1.07,1.06,1.07,-,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,122,55,67,22,20,29,34,16,7,14,43,29,22,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,128,56*,72*,21**,19**,27**,40*,17**,8**,15**,38*,32**,27**,32**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
