table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Not working but seeking work or temporarily unemployed or sick,96,50,46,9,9,23,25,23,15,1,12,7,7,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Not working and not seeking work,93,48,45,6,4,7,11,31,29,9,3,8,13,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Student,153,50,103,143,103,8,1,-,1,-,61,53,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Retired on a state pension only,107,24,84,-,-,-,-,-,1,107,7,16,11,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Retired with a private pension,381,210,172,-,-,-,-,6,67,308,158,134,56,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,"House person, housewife, househusband, etc.",90,13,76,1,1,20,25,24,15,4,14,12,23,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,NET: Working,1193,614,579,134,131,290,264,274,185,47,314,394,278,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,NET: Employed,1083,546,537,127,124,273,245,248,156,35,290,353,250,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Working full time working 30 hours per week or more,876,493,383,105,105,234,203,207,112,14,247,284,205,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Working part-time working between 8 and 29 hours per week,206,52,154,21,19,38,41,41,43,21,43,69,45,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,NET: Self-employed,110,68,42,7,7,17,19,26,29,12,24,41,28,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Self-employed - working 30 hours per week or more,64,49,15,2,2,10,12,17,16,7,14,23,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Self-employed - working between 8 and 29 hours per week,46,19,27,5,5,7,7,9,12,5,10,18,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,NET: Not working,926,422,504,159,122,64,64,90,120,428,262,204,152,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Not working but seeking work or temporarily unemployed or sick,87,46,41,11,11,22,21,17,14,2,7,8,12,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Not working and not seeking work,105,50,54,4,4,14,12,35,25,15,11,12,9,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Student,150,69,82,143,106,3,4,1,-,-,57,52,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Retired on a state pension only,111,34,76,-,-,-,-,-,1,110,7,12,9,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,Retired with a private pension,353,210,144,-,-,-,-,2,57,294,166,101,63,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 133,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 29th to 31st May 2020,"House person, housewife, househusband, etc.",120,13,107,2,2,25,27,35,23,8,14,17,41,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,NET: Working,1178,641,537,135,134,289,255,266,173,60,328,401,261,188,111,50,122,108,99,80,38,113,165,165,92,35,330,849,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,NET: Employed,1057,566,491,127,126,273,237,227,142,50,302,363,226,166,101,47,100,104,94,69,36,98,145,151,80,32,325,732,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Working full time working 30 hours per week or more,845,498,347,99,99,235,198,184,105,25,253,299,181,112,84,41,77,78,79,59,28,70,123,116,63,27,267,578,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Working part-time working between 8 and 29 hours per week,212,69,143,29,27,38,39,43,38,25,49,64,45,54,17,7,22,26,15,10,9,29,21,35,17,5,58,154,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,NET: Self-employed,121,75,46,8,8,16,18,39,31,10,26,38,35,22,11,2,22,4,5,11,2,15,21,14,12,3,5,117,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Self-employed - working 30 hours per week or more,84,60,25,4,4,14,12,27,22,6,17,27,24,16,9,1,19,3,2,8,1,8,14,8,9,1,3,81,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Self-employed - working between 8 and 29 hours per week,37,15,22,4,4,2,5,12,9,5,9,11,11,6,1,1,3,1,3,3,1,7,7,5,4,2,2,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not working,915,382,533,154,113,61,70,94,128,409,241,189,164,321,63,34,110,62,84,71,61,84,111,122,87,28,-,-,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Not working but seeking work or temporarily unemployed or sick,88,52,36,21,21,11,16,21,17,2,14,8,11,54,6,1,10,7,9,6,5,9,11,16,8,-,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Not working and not seeking work,120,50,70,5,5,18,15,41,31,10,10,15,15,80,9,4,14,9,5,15,6,10,18,17,6,7,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Student,146,53,93,123,82,17,6,-,-,1,45,54,17,30,8,2,12,12,15,9,12,8,24,29,15,-,-,-,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Retired on a state pension only,123,43,80,-,-,-,1,-,1,120,16,8,20,79,10,6,16,11,14,9,7,8,13,15,13,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Retired with a private pension,334,174,160,-,-,-,-,3,60,271,140,89,79,25,20,17,39,18,28,25,24,33,42,39,36,13,-,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 398,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,"House person, housewife, househusband, etc.",105,11,94,5,5,16,31,30,18,5,15,15,22,53,10,4,17,6,13,7,7,15,4,6,7,7,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,NET: Working,1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974,558,867,329,418,501,118,366,112,108,337,359,1032,19,348,158,59,457,358,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,NET: Employed,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876,506,774,289,373,454,106,329,101,93,294,317,926,14,303,148,56,400,330,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Working full time working 30 hours per week or more,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,397,614,235,302,359,87,258,86,77,245,238,740,12,228,129,48,322,265,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Working part-time working between 8 and 29 hours per week,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,109,160,54,71,95,19,70,15,16,49,79,186,2,75,19,8,79,65,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,NET: Self-employed,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,52,93,40,46,47,12,37,11,15,43,42,106,5,44,10,3,57,28,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Self-employed - working 30 hours per week or more,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,41,64,29,34,31,8,26,7,11,33,28,73,4,31,7,2,39,19,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Self-employed - working between 8 and 29 hours per week,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,11,30,11,12,16,4,11,3,4,10,14,33,1,14,3,2,18,9,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not working,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,457,696,291,306,313,64,251,44,55,228,262,822,13,334,86,40,351,315,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Not working but seeking work or temporarily unemployed or sick,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,41,63,17,19,36,6,29,1,1,20,27,77,1,22,15,2,26,46,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Not working and not seeking work,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,62,81,28,40,36,12,28,5,8,33,40,100,1,44,6,8,16,52,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Student,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,49,104,38,45,70,24,39,11,11,46,41,121,-,35,28,8,70,50,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Retired on a state pension only,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,77,94,29,41,31,10,29,7,9,25,34,112,4,52,7,4,35,45,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Retired with a private pension,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,175,293,151,129,81,9,71,16,19,79,86,325,7,158,20,14,155,90,,,,,,,,,,,,,,,,,,
Table 399,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,"House person, housewife, househusband, etc.",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,55,60,27,31,59,3,54,4,7,25,34,88,-,22,8,3,48,31,,,,,,,,,,,,,,,,,,
Table 400,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-
