,classifier,questions,response,All persons %,Most deprived %,2nd quintile %,3rd quintile %,4th quintile %,Least deprived %,All persons LCL,All persons UCL,Most deprived LCL,Most deprived UCL,2nd quintile LCL,2nd quintile UCL,3rd quintile LCL,3rd quintile UCL,4th quintile LCL,4th quintile UCL,Least deprived LCL,Least deprived UCL
27,Among those who reported that their school provided real-time online learning for subject lessons:,"Still thinking back to the first period of school disruption in Year 10 – that is, April to July 2020. On average, on about how many days a week did you spend time on school work, even if not for a whole day?",1 to 5 days,81,80,81,83,81,82,80,82,78,81,79,83,80,84,79,83,80,84
28,Among those who reported that their school provided real-time online learning for subject lessons:,"Still thinking back to the first period of school disruption in Year 10 – that is, April to July 2020. On average, on about how many days a week did you spend time on school work, even if not for a whole day?",More than 5 days,10,9,9,9,10,10,9,10,7,10,8,10,8,11,9,12,9,13
31,Among those who spent at least one day a week on school work:,"And on a typical day during this period, that is April to July 2020, how many hours on average did you spend doing school work?",Less than an hour,4,4,4,3,4,3,3,4,3,5,3,5,2,4,3,5,2,4
32,Among those who spent at least one day a week on school work:,"And on a typical day during this period, that is April to July 2020, how many hours on average did you spend doing school work?",1 to 5 hours,79,81,79,80,80,77,78,80,80,83,77,81,77,82,78,82,74,79
33,Among those who spent at least one day a week on school work:,"And on a typical day during this period, that is April to July 2020, how many hours on average did you spend doing school work?",5 hours or more,17,15,17,17,16,20,16,18,13,16,15,19,15,20,14,18,18,23
35,Among those who spent at least one day a week on school work:,"And at any point during that time in Year 10 – that is, April to July 2020, did you have any of these problems? [note 2]",Problems accessing help or support from teachers,21,21,22,19,20,21,20,22,20,23,20,24,17,21,18,23,19,23
36,Among those who spent at least one day a week on school work:,"And at any point during that time in Year 10 – that is, April to July 2020, did you have any of these problems? [note 2]",Regular problems with my internet connection,27,27,25,26,27,28,26,28,26,29,23,27,24,28,25,29,25,30
37,Among those who spent at least one day a week on school work:,"And at any point during that time in Year 10 – that is, April to July 2020, did you have any of these problems? [note 2]",I didn't have a suitable or quiet space to study or work,17,21,20,18,14,13,17,18,20,23,18,22,16,20,12,16,12,15
38,Among those who spent at least one day a week on school work:,"And at any point during that time in Year 10 – that is, April to July 2020, did you have any of these problems? [note 2]","Feeling unmotivated, struggled to engage with my studies or work",66,61,62,69,72,70,65,67,59,63,60,65,66,72,70,74,67,72
39,Among those who spent at least one day a week on school work:,"And at any point during that time in Year 10 – that is, April to July 2020, did you have any of these problems? [note 2]","I had to share devices - for example, a laptop or tablet - with other family members",13,15,16,12,11,9,12,13,14,17,14,17,11,14,10,13,8,11
40,Among those who spent at least one day a week on school work:,"And at any point during that time in Year 10 – that is, April to July 2020, did you have any of these problems? [note 2]",No / not applicable,21,22,22,19,18,20,20,22,20,24,20,24,17,22,16,21,18,22
