start_date,end_date,question,response,facebook,twitter,instagram,snapchat,youtube,whatsapp,whatsapp_group,facebook_messenger,apple_imessage,search_engine
2020-04-09,2020-04-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,293,105,55,15,38,71,73,52,9,0
2020-04-09,2020-04-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,272,95,61,22,39,79,88,67,10,0
2020-04-09,2020-04-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,151,112,39,6,40,16,19,16,2,0
2020-04-09,2020-04-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",60,35,18,6,47,15,10,11,4,46
2020-04-09,2020-04-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",319,172,51,26,96,22,20,19,7,249
2020-04-09,2020-04-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",300,185,64,27,106,27,32,26,10,257
2020-04-09,2020-04-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,581,287,148,72,204,138,126,113,28,352
2020-04-09,2020-04-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,30,13,9,4,15,11,4,9,1,30
2020-04-17,2020-04-19,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,37,16,13,5,10,7,3,9,3,28
2020-04-17,2020-04-19,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,137,93,24,8,37,19,10,15,,0
2020-04-17,2020-04-19,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,606,278,127,54,189,154,109,108,28,352
2020-04-17,2020-04-19,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",315,167,51,12,73,18,18,35,5,249
2020-04-17,2020-04-19,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",296,170,45,27,76,23,22,33,12,233
2020-04-17,2020-04-19,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,598,280,127,49,196,141,105,96,28,358
2020-04-17,2020-04-19,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",117,63,32,17,37,12,7,13,4,76
2020-04-17,2020-04-19,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,239,90,40,17,28,83,72,51,9,0
2020-04-17,2020-04-19,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,267,87,50,15,29,76,58,46,4,0
2020-04-17,2020-04-19,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,145,113,29,8,60,12,9,11,,0
2020-04-17,2020-04-19,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",54,33,12,9,34,12,10,12,4,35
2020-04-24,2020-04-26,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,38,19,13,12,15,6,2,4,2,47
2020-04-24,2020-04-26,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,218,79,37,7,29,51,41,38,4,0
2020-04-24,2020-04-26,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,218,75,40,13,26,61,53,49,7,0
2020-04-24,2020-04-26,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",99,58,15,12,26,6,4,13,3,57
2020-04-24,2020-04-26,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",36,25,14,2,24,6,9,8,2,25
2020-04-24,2020-04-26,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",247,134,22,23,81,23,15,15,6,211
2020-04-24,2020-04-26,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",243,153,38,13,95,26,19,21,10,211
2020-04-24,2020-04-26,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,519,251,103,44,187,104,79,83,20,323
2020-04-24,2020-04-26,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,499,236,99,40,194,100,76,83,18,319
2020-04-24,2020-04-26,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,124,114,29,3,49,13,16,14,1,0
2020-04-24,2020-04-26,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,119,99,17,6,29,16,13,10,2,0
2020-05-01,2020-05-03,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,148,109,44,11,57,28,17,6,5,0
2020-05-01,2020-05-03,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,147,101,38,5,37,21,22,6,1,0
2020-05-01,2020-05-03,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,267,88,46,13,25,58,62,42,8,0
2020-05-01,2020-05-03,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,246,98,57,21,40,65,80,54,11,0
2020-05-01,2020-05-03,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",147,59,28,19,38,10,9,10,1,88
2020-05-01,2020-05-03,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,31,11,11,5,23,6,2,6,3,33
2020-05-01,2020-05-03,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",317,142,42,24,104,30,19,18,6,267
2020-05-01,2020-05-03,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",309,157,52,20,95,37,21,18,2,249
2020-05-01,2020-05-03,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,604,255,127,54,214,120,105,97,23,369
2020-05-01,2020-05-03,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,588,258,118,45,208,121,94,100,23,359
2020-05-01,2020-05-03,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",52,28,10,8,27,11,3,4,0,38
2020-05-07,2020-05-10,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,36,12,7,2,15,7,3,2,0,51
2020-05-07,2020-05-10,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,256,97,48,11,36,67,63,49,15,0
2020-05-07,2020-05-10,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,244,106,52,15,32,92,71,53,12,0
2020-05-07,2020-05-10,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",123,70,27,16,36,14,9,14,9,84
2020-05-07,2020-05-10,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",43,38,9,6,40,16,6,9,7,46
2020-05-07,2020-05-10,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",308,168,39,21,100,24,17,20,6,274
2020-05-07,2020-05-10,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",286,153,48,11,93,31,19,21,11,263
2020-05-07,2020-05-10,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,558,274,114,37,206,146,97,101,24,399
2020-05-07,2020-05-10,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,545,275,110,36,193,134,96,101,24,391
2020-05-07,2020-05-10,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,140,147,45,7,72,25,21,12,1,0
2020-05-07,2020-05-10,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,127,115,34,5,33,21,21,10,1,0
2020-05-15,2020-05-17,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,150,136,46,11,64,11,24,14,2,0
2020-05-15,2020-05-17,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,296,107,54,20,32,81,56,64,12,0
2020-05-15,2020-05-17,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",127,79,30,19,27,11,7,10,3,76
2020-05-15,2020-05-17,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",32,27,15,8,32,9,6,9,2,37
2020-05-15,2020-05-17,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",300,174,35,20,84,24,18,27,5,239
2020-05-15,2020-05-17,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",309,157,43,15,76,32,16,16,4,261
2020-05-15,2020-05-17,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,558,265,126,52,199,135,94,106,23,355
2020-05-15,2020-05-17,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,564,264,121,45,202,131,90,104,21,358
2020-05-15,2020-05-17,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,135,106,34,5,46,16,20,13,2,0
2020-05-15,2020-05-17,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,18,11,11,4,9,9,6,3,1,30
2020-05-15,2020-05-17,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,281,93,59,12,33,64,49,53,6,0
2020-05-22,2020-05-24,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,588,313,101,36,178,107,87,93,12,331
2020-05-22,2020-05-24,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,592,322,103,36,182,99,86,97,10,333
2020-05-22,2020-05-24,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",309,218,41,8,74,22,13,16,3,237
2020-05-22,2020-05-24,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",300,204,30,21,74,27,12,20,1,215
2020-05-22,2020-05-24,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,287,132,44,11,33,46,58,44,3,0
2020-05-22,2020-05-24,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",135,93,19,12,35,11,1,12,0,90
2020-05-22,2020-05-24,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,261,136,49,18,34,60,59,49,4,0
2020-05-22,2020-05-24,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,140,163,42,5,54,11,19,12,2,0
2020-05-22,2020-05-24,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,152,130,28,3,40,11,11,9,0,0
2020-05-22,2020-05-24,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,39,14,5,1,12,3,3,7,1,31
2020-05-22,2020-05-24,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",49,47,8,6,36,14,4,5,1,40
2020-05-29,2020-05-31,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,123,138,32,8,38,12,13,6,1,0
2020-05-29,2020-05-31,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,30,15,13,5,19,7,4,7,1,38
2020-05-29,2020-05-31,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",44,55,10,10,42,6,9,7,4,50
2020-05-29,2020-05-31,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,136,163,37,9,67,10,15,9,4,0
2020-05-29,2020-05-31,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,245,118,43,12,30,63,49,40,2,0
2020-05-29,2020-05-31,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,248,127,45,19,32,67,58,43,6,0
2020-05-29,2020-05-31,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",125,88,32,14,45,13,9,8,7,76
2020-05-29,2020-05-31,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",262,198,52,22,102,25,21,12,6,239
2020-05-29,2020-05-31,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",276,182,45,14,93,18,16,18,6,236
2020-05-29,2020-05-31,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,534,330,124,49,221,116,91,79,15,344
2020-05-29,2020-05-31,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,544,320,109,41,218,109,85,79,14,339
2020-06-05,2020-06-07,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,20,9,6,5,15,6,1,4,0,36
2020-06-05,2020-06-07,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,150,134,65,8,45,18,17,11,4,0
2020-06-05,2020-06-07,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,154,174,68,10,56,25,16,15,8,0
2020-06-05,2020-06-07,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,270,125,92,17,31,70,72,44,13,0
2020-06-05,2020-06-07,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,289,143,97,26,36,75,75,50,12,0
2020-06-05,2020-06-07,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",125,82,35,24,34,17,8,15,5,99
2020-06-05,2020-06-07,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",321,190,69,29,109,26,19,24,8,287
2020-06-05,2020-06-07,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",306,192,80,16,97,34,17,26,7,276
2020-06-05,2020-06-07,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,561,301,180,55,208,121,100,85,23,400
2020-06-05,2020-06-07,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,578,309,174,50,204,131,108,82,22,397
2020-06-05,2020-06-07,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",46,36,23,10,37,10,8,11,5,58
2020-06-12,2020-06-15,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",49,39,27,17,28,17,16,12,8,64
2020-06-12,2020-06-15,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,149,120,65,15,57,25,16,18,4,0
2020-06-12,2020-06-15,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,163,144,71,25,60,23,16,14,5,0
2020-06-12,2020-06-15,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,290,115,74,23,48,72,62,36,11,0
2020-06-12,2020-06-15,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",294,169,59,34,81,42,24,27,10,260
2020-06-12,2020-06-15,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,26,8,5,3,15,4,5,6,1,23
2020-06-12,2020-06-15,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,264,119,85,35,40,97,75,53,11,0
2020-06-12,2020-06-15,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",110,75,33,26,46,14,9,13,6,83
2020-06-12,2020-06-15,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,552,276,161,61,207,142,101,92,21,339
2020-06-12,2020-06-15,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,558,291,177,76,205,154,115,97,24,348
2020-06-12,2020-06-15,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",292,175,67,21,96,43,24,27,13,257
2020-06-19,2020-06-21,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,514,297,125,44,193,120,72,81,25,344
2020-06-19,2020-06-21,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",252,193,39,16,81,31,9,18,4,229
2020-06-19,2020-06-21,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",55,42,13,0,26,9,9,5,4,36
2020-06-19,2020-06-21,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",123,74,20,14,49,14,5,9,2,71
2020-06-19,2020-06-21,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,267,111,61,18,33,79,46,54,10,0
2020-06-19,2020-06-21,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,141,150,41,8,68,14,12,6,2,0
2020-06-19,2020-06-21,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,520,305,131,42,189,114,72,80,20,338
2020-06-19,2020-06-21,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",247,178,56,17,83,31,17,20,13,237
2020-06-19,2020-06-21,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,257,103,57,12,33,56,49,36,8,0
2020-06-19,2020-06-21,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,139,102,42,7,32,12,7,6,0,0
2020-06-19,2020-06-21,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,31,10,8,2,12,7,2,3,0,33
2020-08-07,2020-08-09,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from official sources such as NHS, Government etc",187,119,40,11,41,11,11,17,2,209
2020-08-07,2020-08-09,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,78,74,21,2,18,4,5,4,1,0
2020-08-07,2020-08-09,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,85,96,25,5,43,9,2,7,0,0
2020-08-07,2020-08-09,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,143,82,26,4,16,35,24,27,5,0
2020-08-07,2020-08-09,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,I don't notice where the information is coming from,30,12,6,7,12,3,2,5,1,39
2020-08-07,2020-08-09,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Unweighted base,415,210,84,27,136,74,50,64,13,311
2020-08-07,2020-08-09,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Weighted base,399,217,90,29,130,79,51,66,12,322
2020-08-07,2020-08-09,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,136,74,30,10,21,43,22,31,5,0
2020-08-07,2020-08-09,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",178,116,29,13,49,10,9,13,3,196
2020-08-07,2020-08-09,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",30,24,6,0,15,7,4,5,2,36
2020-08-07,2020-08-09,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",79,44,15,2,21,10,2,3,2,58
2020-09-11,2020-09-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you know,246,88,56,15,47,78,67,64,10,0
2020-09-11,2020-09-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you don't know,116,86,36,4,43,13,14,13,2,0
2020-09-11,2020-09-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Opinions from a person you don't know,123,103,44,11,58,19,22,13,4,0
2020-09-11,2020-09-13,types_of_news/information_seen_on_social_media_and_search_engines_in_last_week:_summary,Facts forwarded/ posted/ shared from a person you know,248,82,44,10,45,53,47,45,6,0
