start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Podcasts,10,8,2,0,3,2,0,5
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Weighted base,2220,1082,1138,0,609,627,449,535
2020-03-27,2020-03-29,altered_behaviour_over_last_week,Apple iMessage,9,4,5,0,1,6,2,0
2020-03-27,2020-03-29,altered_behaviour_over_last_week,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",8,5,3,0,3,2,0,2
2020-03-27,2020-03-29,altered_behaviour_over_last_week,UTV,17,7,9,0,6,4,6,1
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Direct from Local council website/ email/ text/ post,51,22,30,3,14,12,8,18
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Websites or apps that bring together news from different news providers,57,31,26,10,20,15,12,10
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Email,53,30,23,13,23,15,12,3
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Channel 4,52,28,23,7,20,11,10,10
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Commercial Radio,51,29,22,6,16,8,11,15
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Weighted base,2103,1028,1075,289,573,592,429,509
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Direct from Local health service website/ email/ text/ post,47,23,24,4,10,16,8,14
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Twitter,40,26,13,13,13,12,8,7
2020-04-03,2020-04-05,altered_behaviour_over_last_week,YouTube,39,28,11,11,13,8,6,11
2020-04-03,2020-04-05,altered_behaviour_over_last_week,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",31,21,10,14,7,10,5,9
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Search engine (e.g. Google),50,23,27,13,16,11,7,17
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Official scientists,71,35,36,3,20,22,8,21
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Weighted base,2103,1028,1075,289,573,592,429,509
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Weighted base,2103,1028,1075,289,573,592,429,509
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Newspapers (printed),76,47,29,3,24,19,17,16
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Direct from World Health Organisation (WHO) website/ email/ text/ post,84,38,46,18,32,28,10,14
2020-04-03,2020-04-05,altered_behaviour_over_last_week,BBC - Radio,102,59,43,12,31,36,18,17
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Newspapers (online),107,51,56,22,28,37,24,18
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Sky,130,63,67,20,30,46,25,29
2020-04-03,2020-04-05,altered_behaviour_over_last_week,BBC - Online/ app,192,103,89,44,65,66,40,22
2020-04-03,2020-04-05,altered_behaviour_over_last_week,ITV,197,91,106,29,54,47,42,54
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Family and friends directly,198,72,126,43,64,55,36,43
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Direct from NHS website/ email/ text/ post,220,96,124,37,60,75,41,45
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Direct from Government website/ email/ text/ post,284,127,157,47,82,86,65,51
2020-04-03,2020-04-05,altered_behaviour_over_last_week,BBC - TV,621,297,323,88,193,171,130,126
2020-04-03,2020-04-05,altered_behaviour_over_last_week,WhatsApp,26,13,13,7,16,2,4,4
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Facebook,75,34,41,15,15,18,16,26
2020-04-03,2020-04-05,altered_behaviour_over_last_week,People in your local area/neighbourhood,22,13,9,3,8,6,4,4
2020-04-03,2020-04-05,altered_behaviour_over_last_week,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",3,1,2,0,1,0,0,2
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Channel 5,21,11,11,1,2,7,1,11
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Unweighted base,2104,1055,1049,270,512,600,457,535
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: Family/friends/ local ppl,204,77,127,43,68,56,37,44
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: Other online news sources,81,47,34,19,26,23,14,18
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: Closed groups,34,19,14,8,16,6,3,8
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Weighted base,2103,1028,1075,289,573,592,429,509
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: WhatsApp (WhatsApp and WhatsApp groups),38,22,16,9,23,5,6,4
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: Facebook (Facebook and Facebook Messenger),84,39,45,17,19,19,16,31
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: Social Media,129,70,60,36,43,30,25,32
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: Officials,469,216,253,70,126,148,91,104
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: Newspapers (printed and online),170,91,79,25,50,51,37,32
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: BBC services,731,357,374,110,226,211,153,140
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: Non-BBC broadcasters,350,163,187,55,93,92,71,95
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Podcasts,22,14,8,8,10,1,4,6
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: Broadcasters,858,409,449,130,253,244,177,184
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Other,22,11,11,3,9,5,2,6
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Apple iMessage,3,2,1,1,0,1,1,1
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Weighted base,2103,1028,1075,289,573,592,429,509
2020-04-03,2020-04-05,altered_behaviour_over_last_week,"Smart speaker (e.g. Amazon Echo, Google Home)",7,3,4,2,0,2,2,3
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Snapchat,9,5,3,3,2,3,3,0
2020-04-03,2020-04-05,altered_behaviour_over_last_week,ITV Wales,12,3,9,3,2,2,2,7
2020-04-03,2020-04-05,altered_behaviour_over_last_week,STV,15,9,6,0,4,4,3,4
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Facebook messenger,15,8,7,4,6,1,1,7
2020-04-03,2020-04-05,altered_behaviour_over_last_week,UTV,17,4,12,2,4,6,3,4
2020-04-03,2020-04-05,altered_behaviour_over_last_week,WhatsApp group(s),17,11,6,4,10,3,2,1
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Instagram,19,8,11,9,9,6,2,2
2020-04-03,2020-04-05,altered_behaviour_over_last_week,Advertising,20,11,9,4,6,7,3,4
2020-04-03,2020-04-05,altered_behaviour_over_last_week,None of them have made me alter my behaviour,894,443,451,100,218,257,182,236
2020-04-03,2020-04-05,altered_behaviour_over_last_week,NET: Traditional media,911,443,468,140,267,257,190,196
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Unweighted base,2097,1007,1090,265,599,509,444,545
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: Family/friends/ local ppl,128,52,77,32,40,36,23,29
2020-04-09,2020-04-13,altered_behaviour_over_last_week,WhatsApp group(s),15,7,8,4,5,3,5,2
2020-04-09,2020-04-13,altered_behaviour_over_last_week,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",13,6,7,1,5,4,1,3
2020-04-09,2020-04-13,altered_behaviour_over_last_week,UTV,12,7,5,0,1,6,5,0
2020-04-09,2020-04-13,altered_behaviour_over_last_week,STV,11,6,4,1,1,6,1,3
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Snapchat,11,3,7,7,5,2,3,1
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Facebook messenger,8,6,2,4,4,1,3,0
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Podcasts,7,4,4,1,4,2,2,0
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Apple iMessage,6,4,3,2,2,1,1,2
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Weighted base,2099,1027,1072,292,572,595,424,508
2020-04-09,2020-04-13,altered_behaviour_over_last_week,"Smart speaker (e.g. Amazon Echo, Google Home)",6,5,1,1,1,1,2,2
2020-04-09,2020-04-13,altered_behaviour_over_last_week,ITV Wales,5,3,2,0,0,0,2,3
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Other,16,9,7,0,5,6,3,2
2020-04-09,2020-04-13,altered_behaviour_over_last_week,None of them have made me alter my behaviour,1167,578,589,121,316,319,242,290
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: Broadcasters,591,268,323,84,161,180,117,133
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: Non-BBC broadcasters,236,105,131,27,52,65,57,61
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: BBC services,496,225,271,72,143,150,95,107
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: Newspapers (printed and online),120,70,51,15,35,34,22,30
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: Officials,355,170,185,75,102,106,68,79
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: Social Media,120,58,63,37,40,29,22,30
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Weighted base,2099,1027,1072,292,572,595,424,508
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: Facebook (Facebook and Facebook Messenger),72,36,36,16,19,12,19,21
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: WhatsApp (WhatsApp and WhatsApp groups),25,11,14,7,12,3,8,3
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: Closed groups,23,11,11,7,7,6,6,4
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: Other online news sources,52,28,25,5,14,15,11,12
2020-04-09,2020-04-13,altered_behaviour_over_last_week,NET: Traditional media,642,299,343,92,172,196,125,150
2020-04-09,2020-04-13,altered_behaviour_over_last_week,WhatsApp,15,7,8,5,9,0,6,1
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Advertising,18,8,10,7,3,6,6,3
2020-04-09,2020-04-13,altered_behaviour_over_last_week,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",5,5,0,1,1,2,1,1
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Instagram,21,12,8,15,12,5,2,1
2020-04-09,2020-04-13,altered_behaviour_over_last_week,People in your local area/neighbourhood,18,8,10,7,7,1,7,3
2020-04-09,2020-04-13,altered_behaviour_over_last_week,BBC - TV,417,187,231,60,116,123,85,94
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Direct from Government website/ email/ text/ post,233,107,126,47,70,69,43,52
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Direct from NHS website/ email/ text/ post,162,76,86,37,49,47,27,39
2020-04-09,2020-04-13,altered_behaviour_over_last_week,ITV,129,52,77,13,32,31,25,41
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Family and friends directly,124,49,75,32,38,36,21,29
2020-04-09,2020-04-13,altered_behaviour_over_last_week,BBC - Online/ app,115,52,63,25,44,39,16,16
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Sky,96,52,44,11,20,28,25,23
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Newspapers (online),93,49,44,13,30,25,13,25
2020-04-09,2020-04-13,altered_behaviour_over_last_week,BBC - Radio,72,40,32,5,27,21,12,12
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Direct from World Health Organisation (WHO) website/ email/ text/ post,70,37,33,23,23,18,10,18
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Facebook,69,35,35,15,19,11,18,21
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Weighted base,2099,1027,1072,292,572,595,424,508
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Weighted base,2099,1027,1072,292,572,595,424,508
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Channel 4,49,26,23,6,15,15,10,9
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Official scientists,54,33,21,5,15,24,8,7
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Channel 5,23,14,8,4,6,8,5,4
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Commercial Radio,27,18,9,3,6,5,7,9
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Email,31,18,13,8,11,9,4,8
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Direct from Local council website/ email/ text/ post,32,16,17,3,9,9,10,5
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Direct from Local health service website/ email/ text/ post,35,14,21,9,7,9,14,6
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Weighted base,2099,1027,1072,292,572,595,424,508
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Websites or apps that bring together news from different news providers,40,21,19,5,10,10,10,11
2020-04-09,2020-04-13,altered_behaviour_over_last_week,YouTube,41,29,12,10,15,10,6,10
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Newspapers (printed),44,31,13,5,7,18,13,6
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Search engine (e.g. Google),45,17,28,14,9,12,6,19
2020-04-09,2020-04-13,altered_behaviour_over_last_week,Twitter,37,16,21,13,13,11,3,10
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Websites or apps that bring together news from different news providers,44,15,29,8,12,11,7,14
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Direct from World Health Organisation (WHO) website/ email/ text/ post,38,14,24,16,20,7,3,8
2020-04-17,2020-04-19,altered_behaviour_over_last_week,YouTube,37,22,15,8,14,4,10,9
2020-04-17,2020-04-19,altered_behaviour_over_last_week,WhatsApp group(s),18,12,6,1,7,3,5,3
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Newspapers (printed),34,21,13,2,11,5,8,9
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Twitter,32,19,13,8,14,6,7,6
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Direct from Local health service website/ email/ text/ post,31,10,21,4,5,9,3,13
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Direct from Local council website/ email/ text/ post,29,12,16,6,9,7,2,10
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Commercial Radio,24,12,12,1,2,15,1,6
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Search engine (e.g. Google),45,26,19,7,14,11,8,13
2020-04-17,2020-04-19,altered_behaviour_over_last_week,WhatsApp,32,16,16,5,7,6,9,9
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Weighted base,2113,1031,1082,290,575,597,431,510
2020-04-17,2020-04-19,altered_behaviour_over_last_week,BBC - Online/ app,112,52,61,35,38,33,23,18
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Channel 4,54,21,34,11,23,14,5,12
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Newspapers (online),61,31,30,9,23,17,7,14
2020-04-17,2020-04-19,altered_behaviour_over_last_week,BBC - Radio,68,34,34,15,25,22,10,11
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Facebook,71,31,40,15,19,13,14,26
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Family and friends directly,93,42,51,20,20,30,22,21
2020-04-17,2020-04-19,altered_behaviour_over_last_week,ITV,116,59,56,18,28,36,18,34
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Direct from NHS website/ email/ text/ post,116,47,69,25,26,41,17,32
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Direct from Government website/ email/ text/ post,145,48,97,37,38,39,29,39
2020-04-17,2020-04-19,altered_behaviour_over_last_week,BBC - TV,323,149,174,52,88,105,52,79
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Weighted base,2113,1031,1082,290,575,597,431,510
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Unweighted base,2108,1088,1020,293,623,632,305,548
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Weighted base,2113,1031,1082,290,575,597,431,510
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Official scientists,48,25,24,9,12,20,4,11
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Channel 5,17,10,7,1,3,8,0,6
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Sky,70,36,34,13,22,22,6,20
2020-04-17,2020-04-19,altered_behaviour_over_last_week,People in your local area/neighbourhood,14,7,7,3,7,2,3,3
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: Other online news sources,59,21,38,11,19,12,10,17
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: Closed groups,24,17,7,3,8,6,5,5
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: WhatsApp (WhatsApp and WhatsApp groups),44,25,20,7,12,10,12,11
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Weighted base,2113,1031,1082,290,575,597,431,510
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: Facebook (Facebook and Facebook Messenger),72,32,40,15,19,14,14,26
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: Social Media,114,51,63,28,33,21,25,35
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: Officials,245,98,147,49,68,76,41,60
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: Newspapers (printed and online),88,47,41,11,31,21,15,20
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: BBC services,403,189,215,73,116,126,66,95
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: Non-BBC broadcasters,204,102,101,30,54,64,31,55
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: Broadcasters,502,240,263,84,142,152,83,125
2020-04-17,2020-04-19,altered_behaviour_over_last_week,None of them have made me alter my behaviour,1331,663,667,154,353,377,283,318
2020-04-17,2020-04-19,altered_behaviour_over_last_week,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",17,8,8,4,9,,5,3
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Other,9,4,5,1,2,1,5,2
2020-04-17,2020-04-19,altered_behaviour_over_last_week,UTV,5,2,3,1,1,2,2,
2020-04-17,2020-04-19,altered_behaviour_over_last_week,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",5,1,4,0,3,1,0,1
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Weighted base,2113,1031,1082,290,575,597,431,510
2020-04-17,2020-04-19,altered_behaviour_over_last_week,ITV Wales,5,1,4,3,2,1,1,2
2020-04-17,2020-04-19,altered_behaviour_over_last_week,STV,5,3,2,0,0,4,2,0
2020-04-17,2020-04-19,altered_behaviour_over_last_week,"Smart speaker (e.g. Amazon Echo, Google Home)",7,5,2,1,3,0,3,1
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Snapchat,8,4,4,6,6,0,,2
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Facebook messenger,8,5,3,0,1,4,1,1
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Advertising,10,4,6,2,4,4,1,2
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Podcasts,11,8,3,1,4,3,1,3
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Instagram,12,5,7,4,6,2,1,3
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Email,13,8,6,3,2,2,2,7
2020-04-17,2020-04-19,altered_behaviour_over_last_week,Apple iMessage,5,4,,2,3,1,0,1
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: Family/friends/ local ppl,97,43,53,22,23,30,22,22
2020-04-17,2020-04-19,altered_behaviour_over_last_week,NET: Traditional media,536,259,277,85,154,163,88,131
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Advertising,13,7,6,3,4,7,1,1
2020-04-24,2020-04-26,altered_behaviour_over_last_week,“Mid-market tabloids” such as MailOnline or Express ( online ),10,5,5,1,4,4,1,2
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Instagram,12,1,11,7,3,4,2,4
2020-04-24,2020-04-26,altered_behaviour_over_last_week,“Broadsheets” such as The Times or Guardian,13,5,8,1,4,7,1,2
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Channel 5,13,4,9,2,3,3,2,5
2020-04-24,2020-04-26,altered_behaviour_over_last_week,WhatsApp,14,4,10,2,5,2,1,6
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Other,15,7,9,,5,6,2,3
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Weighted base,2067,1016,1051,281,569,580,419,499
2020-04-24,2020-04-26,altered_behaviour_over_last_week,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),16,8,8,2,3,9,2,2
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Email,16,12,4,2,7,5,2,3
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Direct from Local health service website/ email/ text/ post,17,9,8,0,5,6,3,3
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Twitter,19,11,8,7,6,5,3,5
2020-04-24,2020-04-26,altered_behaviour_over_last_week,YouTube,20,10,10,6,6,6,2,6
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Commercial Radio,21,9,12,3,2,10,7,2
2020-04-24,2020-04-26,altered_behaviour_over_last_week,“Broadsheets” such as The Times or Guardian ( online ),21,10,11,3,7,10,1,3
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Channel 4,23,12,11,1,3,8,5,7
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Search engine (e.g. Google),24,11,12,4,6,9,3,6
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Direct from Local council website/ email/ text/ post,25,11,14,2,10,5,3,7
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Unweighted base,2067,1026,1041,259,539,608,386,534
2020-04-24,2020-04-26,altered_behaviour_over_last_week,Weighted base,2067,1016,1051,281,569,580,419,499
