start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Weighted base,2125,1038,1087,293.0,578,601,433,513
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,NET: Any,1428,690,738,198.0,393,413,293,330
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Theories linking the origins or causes of Coronavirus to 5G technology,1089,534,555,153.0,302,312,222,253
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Drinking water more frequently,444,178,266,76.0,128,109,93,114
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Gargling with salt water,338,136,201,52.0,95,88,60,94
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",325,151,174,44.0,90,83,61,91
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Drinking more lemon juice,266,132,134,30.0,70,69,58,69
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Eating warm food/ drink and avoiding cold food/ drink,247,103,143,37.0,65,60,52,69
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Inhaling steam,188,87,102,30.0,55,47,31,55
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Putting clothes in the sun or another warm place to disinfect them,175,74,101,25.0,39,41,52,44
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Other,66,33,33,7.0,17,22,10,17
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Weighted base,2125,1038,1087,293.0,578,601,433,513
2020-04-17,2020-04-19,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,None of these,697,348,349,96.0,185,189,140,183
2020-04-03,2020-04-05,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Unweighted base,2110,1060,1050,273.0,514,603,457,536
2020-04-03,2020-04-05,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Weighted base,2110,1033,1077,292.0,576,595,429,509
2020-04-03,2020-04-05,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,NET: Any,1133,517,617,180.0,333,312,228,261
2020-04-03,2020-04-05,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Drinking water more frequently,640,274,366,94.0,186,175,127,152
2020-04-03,2020-04-05,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",460,218,242,80.0,145,129,85,100
2020-04-03,2020-04-05,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Gargling with salt water,414,183,231,65.0,122,111,73,108
2020-04-03,2020-04-05,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Eating warm food/ drink and avoiding cold food/ drink,402,169,233,62.0,116,104,85,97
2020-04-03,2020-04-05,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Drinking more lemon juice,318,157,161,29.0,91,80,67,80
2020-04-03,2020-04-05,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Inhaling steam,247,111,135,42.0,65,70,56,55
2020-04-03,2020-04-05,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Putting clothes in the sun or another warm place to disinfect them,199,84,115,27.0,56,55,42,46
2020-04-03,2020-04-05,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,None of these,976,516,461,112.0,243,283,202,249
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Unweighted base,2077,1029,1048,263.0,542,614,387,534
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Weighted base,2077,1018,1059,286.0,571,587,420,499
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,NET: Any,1307,659,648,198.0,399,363,266,279
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Theories linking the origins or causes of Coronavirus to 5G technology,967,477,490,150.0,295,279,197,195
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Drinking water more frequently,347,150,197,56.0,108,94,72,73
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",302,134,168,41.0,99,68,63,72
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Putting clothes in the sun or another warm place to disinfect them,266,130,136,30.0,74,82,52,57
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Gargling with salt water,262,136,125,38.0,81,62,60,58
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Eating warm food/ drink and avoiding cold food/ drink,239,106,132,37.0,72,65,51,51
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Drinking more lemon juice,208,104,104,32.0,75,53,41,39
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Inhaling steam,188,103,84,22.0,63,40,44,40
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Injecting disinfectant/ bleach,170,108,62,20.0,54,51,36,29
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Exposure to UV/ strong light,23,12,11,4.0,7,10,4,1
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Other,45,30,15,3.0,13,15,8,10
2020-04-24,2020-04-26,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,None of these,770,360,410,88.0,172,224,154,220
2020-03-27,2020-03-29,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Unweighted base,2226,1083,1143,88.0,802,620,310,494
2020-03-27,2020-03-29,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Weighted base,2224,1085,1139,88.0,609,627,452,535
2020-03-27,2020-03-29,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,NET: Any,1224,563,661,88.0,352,346,254,272
2020-03-27,2020-03-29,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Drinking water more frequently,788,316,472,88.0,231,224,161,172
2020-03-27,2020-03-29,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Gargling with salt water,538,224,314,88.0,155,153,115,116
2020-03-27,2020-03-29,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Eating warm food/ drink and avoiding cold food/ drink,528,228,300,88.0,153,155,102,118
2020-03-27,2020-03-29,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",488,204,284,88.0,150,137,94,107
2020-03-27,2020-03-29,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Putting clothes in the sun or another warm place to disinfect them,239,107,132,88.0,68,65,53,52
2020-03-27,2020-03-29,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,Drinking more lemon juice,223,103,120,88.0,64,60,51,48
2020-03-27,2020-03-29,whether_came_across_any_of_these_false_or_misleading_recommendations_about_avoiding_the_coronavirus_in_the_last_week,None of these,1000,522,478,88.0,257,281,197,264
