table,question,date,response,Local media organisations,UK-wide media organisations,Scotland-wide media organisations,Northern Ireland wide media organisations,Wales-wide media organisations,NET: Scotland/ Northern Ireland/ Waleswide media organisations,Media organisations from other countries
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 24th to 26th April 2020,Mean,1.03,1.56,1.54,1.72,1.53,1.57,0.74
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.87,0.87,0.92,0.88,0.89,0.91,0.89
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2095,2095,176,78,106,360,2095
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2096,2096,171,63,99,333,2096
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 5th to 7th June 2020,NET: More,484,858,65,31,52,148,385
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 5th to 7th June 2020,A lot more          (+3),116,300,20,9,12,40,92
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 5th to 7th June 2020,A little more       (+2),368,558,46,22,40,107,293
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 5th to 7th June 2020,About the same      (+1),1055,1060,88,29,35,152,709
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 5th to 7th June 2020,Don't use            (0),557,179,18,4,12,33,1003
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 5th to 7th June 2020,Mean,1.02,1.47,1.39,1.57,1.52,1.46,0.75
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.81,0.84,0.82,0.8,0.86,0.83,0.86
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,2121,2121,180,61,111,352,2121
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,2116,2116,172,61,102,335,2116
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 1st to 3rd May 2020,NET: More,575,1015,76,25,50,152,388
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 1st to 3rd May 2020,A lot more          (+3),175,369,25,11,17,52,117
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 1st to 3rd May 2020,A little more       (+2),400,646,51,15,34,100,271
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 1st to 3rd May 2020,About the same      (+1),970,933,84,28,42,154,730
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 1st to 3rd May 2020,Don't use            (0),571,169,12,8,9,29,998
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,1.08,1.57,1.52,1.45,1.57,1.52,0.77
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.88,0.87,0.83,0.94,0.87,0.86,0.88
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2085,2085,175,68,115,358,2085
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2085,2085,174,61,100,336,2085
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 12th to 15th June 2020,NET: More,476,767,71,26,42,139,353
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 12th to 15th June 2020,A lot more          (+3),120,222,27,11,12,50,88
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 12th to 15th June 2020,A little more       (+2),356,546,44,15,30,89,265
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 12th to 15th June 2020,About the same      (+1),1069,1135,89,34,42,165,746
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 12th to 15th June 2020,Don't use            (0),540,182,14,1,16,31,986
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 12th to 15th June 2020,Mean,1.03,1.39,1.48,1.59,1.39,1.47,0.74
Table 18,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.81,0.79,0.85,0.8,0.9,0.86,0.84
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,2226,2226,177,72,126,375,2226
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,2224,2224,186,67,108,361,2224
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 27th to 29th March 2020,NET: More,849,1436,112,45,50,207,606
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 27th to 29th March 2020,A lot more          (+3),331,675,50,22,18,89,204
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 27th to 29th March 2020,A little more       (+2),518,761,62,23,32,117,402
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 27th to 29th March 2020,About the same      (+1),844,666,64,19,45,127,681
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 27th to 29th March 2020,Don't use            (0),531,123,10,3,14,27,936
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 27th to 29th March 2020,Mean,1.29,1.89,1.81,1.94,1.5,1.74,0.94
Table 17,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.99,0.9,0.9,0.9,0.92,0.92,0.98
Table 23,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2134,2134,182,85,112,379,2134
Table 23,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2140,2140,179,63,101,344,2140
Table 23,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 19th to 21st June 2020,NET: More,405,670,68,26,47,141,306
Table 23,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 19th to 21st June 2020,A lot more          (+3),72,191,21,11,20,52,81
Table 23,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 19th to 21st June 2020,A little more       (+2),333,479,47,15,27,89,225
Table 23,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 19th to 21st June 2020,About the same      (+1),1132,1309,94,31,42,167,778
Table 23,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 19th to 21st June 2020,Don't use            (0),603,161,16,6,13,35,1056
Table 23,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 19th to 21st June 2020,Mean,0.94,1.33,1.41,1.5,1.52,1.46,0.69
Table 23,Q4c. Use of types of media organisations: Summary,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.75,0.74,0.82,0.9,0.95,0.87,0.81
