table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),16-24 (d),18-24 (e),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,5,5,-,-,1,-,1,-,1,-,1,3,3,3,-,-,-,-,-,1,3,1,-,-,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 11th to 13th September 2020,4,3,-,3,2,1,-,-,-,-,-,1,2,-,-,-,-,1,-,-,-,-,-,2,-,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 11th to 13th September 2020,3,1,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 11th to 13th September 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 11th to 13th September 2020,Mean,4.43,5,3.78,4,4.56,3,5,-,5,3,4.56,4.56,5,5,-,-,3.53,-,-,5,5,5,4,-,-,-,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.71,*,0.47,0,0.65,-,-,-,-,-,0.65,0.55,0,0,-,-,0.71,-,-,-,0,-,0,-,-,-,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,10,5,5,2,1,1,4,2,1,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,12**,6**,7**,2**,1**,1**,3**,5**,1**,2**,4**,6**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,7,4,3,1,1,1,2,3,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,7,4,3,1,1,-,2,3,1,-,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 17th to 19th April 2020,4,1,1,-,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 17th to 19th April 2020,3,5,1,3,1,-,-,1,2,-,1,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 17th to 19th April 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 17th to 19th April 2020,Mean,4.16,4.42,3.94,3.99,5,4,4.17,4.07,5,3.33,5,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,1,0.93,1.09,1.3,-,-,1.19,1.12,-,-,*,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,5,4,1,-,-,-,1,4,3,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,5**,5**,1**,-**,-**,-**,1**,5**,3**,1**,-**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,5,5,1,-,-,-,1,5,3,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,3,3,-,-,-,-,-,3,3,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th May 2020,4,3,2,1,-,-,-,1,2,1,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th May 2020,3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th May 2020,Mean,4.48,4.57,4,-,-,-,4,4.55,4.77,4,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.55,0.56,-,-,-,-,-,0.56,0.5,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,8,5,3,-,1,-,2,4,3,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,9**,7**,2**,-**,2**,-**,2**,4**,4**,1**,2**,2**,1**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,5,2,2,-,-,-,2,2,2,1,2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,2,1,1,-,-,-,-,2,-,1,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 29th to 31st May 2020,4,3,2,1,-,-,-,2,1,2,1,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 29th to 31st May 2020,3,4,4,-,-,2,-,-,2,3,-,-,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 29th to 31st May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 29th to 31st May 2020,Mean,3.7,3.5,4.33,-,3,-,4,3.94,3.37,4.63,4.44,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.8,0.77,0.66,-,-,-,0,1.02,0.55,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 238,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,12,7,5,-,-,2,6,4,2,5,1,4,,,1,-,-,1,-,-,,2,4,1,2,1,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 238,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,12**,7**,5**,-**,-**,2**,6**,3**,2**,7**,1**,3**,,,1**,-**,-**,***,-**,-**,,2**,4**,2**,2**,1**,,3**,3**,4**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 238,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,11,6,5,-,-,2,6,2,2,6,1,3,,,1,-,-,*,-,-,,1,4,2,2,1,,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 238,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,3,2,*,-,-,-,3,-,-,1,-,1,,,-,-,-,*,-,-,,-,1,-,1,-,,*,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 238,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,4,8,4,4,-,-,2,4,2,2,5,1,2,,,1,-,-,-,-,-,,1,3,2,1,1,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 238,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,3,1,1,-,-,-,-,-,1,-,1,-,-,,,-,-,-,-,-,-,,1,-,-,-,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 238,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 238,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 238,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 238,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.15,4.18,4.1,-,-,4,4.41,3.71,4,4.07,4,4.44,,,4,-,-,5,-,-,,3.43,4.18,4,4.66,4,,4.19,4.23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 238,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.55,0.68,0.33,-,-,0,0.54,0.55,-,0.62,-,0.62,,,-,-,-,-,-,-,,-,0.45,-,0.66,-,,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 239,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,10,5,6,5,-,3,2,2,5,5,11,-,-,1,1,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 239,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,12**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10**,6**,10**,5**,5**,5**,-**,3**,1**,1**,5**,4**,11**,-**,-**,1**,1**,9**,2**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 239,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,9,5,5,5,-,3,1,1,5,4,10,-,-,1,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 239,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,1,1,1,-,1,-,-,1,1,3,-,-,-,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 239,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,7,4,3,4,-,2,1,1,4,3,7,-,-,1,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 239,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 239,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 239,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 239,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 239,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,4.33,4.17,4.15,4.07,4.16,-,4.24,4,4,4.25,4.2,4.16,-,-,4,4,4.18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 239,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.52,0.59,0.4,0.68,0.41,-,0.52,-,-,0.48,0.46,0.57,-,-,-,-,0.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
