table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 232,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,21,9,12,10,8,5,3,1,-,2,6,6,6,3,1,-,3,2,3,1,1,1,6,2,-,,,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 232,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,2.87,2.98,2.79,2.05,1.87,3.05,3.22,3.55,3.52,2.45,3,2.61,2.34,3.29,2.94,3.56,2.84,2,2.8,1,2.68,3.09,2.26,3.33,5,,,2.98,2.97,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 232,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,1.06,1.07,1.06,0.9,0.95,1.07,0.81,0.96,0.83,1.2,1.04,1.06,0.87,1.11,0.58,0.56,0.76,-,1.62,-,0.54,1.09,1.06,0.96,-,,,1.04,1.11,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 233,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,33,36,15,26,38,12,31,14,16,21,33,44,1,10,3,2,32,10,,,,,,,,,,,,,,,,,,,,,
Table 233,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,55*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43*,33**,36*,17**,27**,42*,13**,36**,14**,17**,22**,34**,44*,1**,11**,3**,1**,31**,14**,,,,,,,,,,,,,,,,,,,,,
Table 233,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,8,5,6,12,3,9,5,5,6,8,11,-,5,-,-,7,4,,,,,,,,,,,,,,,,,,,,,
Table 233,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,1,*,2,*,1,*,*,2,*,3,-,1,-,-,2,*,,,,,,,,,,,,,,,,,,,,,
Table 233,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,5,6,10,3,8,5,5,4,7,7,-,3,-,-,5,3,,,,,,,,,,,,,,,,,,,,,
Table 233,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,9,3,10,12,3,10,3,4,4,9,14,1,2,1,-,10,5,,,,,,,,,,,,,,,,,,,,,
Table 233,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9,14,5,8,13,5,11,5,6,8,14,15,-,3,2,1,10,5,,,,,,,,,,,,,,,,,,,,,
Table 233,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,4,5,2,5,1,1,4,4,5,-,1,-,-,4,1,,,,,,,,,,,,,,,,,,,,,
Table 233,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,12,19,8,11,18,7,16,7,8,11,17,20,-,5,2,1,14,6,,,,,,,,,,,,,,,,,,,,,
Table 233,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,2.9,2.61,2.64,2.7,2.78,2.55,2.69,2.82,2.78,2.69,2.61,2.76,3,3.04,2.22,2,2.72,2.77,,,,,,,,,,,,,,,,,,,,,
Table 233,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,1.14,1.09,1.27,1.01,1.08,1.14,1.07,1.12,1.05,1.27,1,1.11,-,1.3,0.52,-,1.11,1.02,,,,,,,,,,,,,,,,,,,,,
Table 234,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,10,3,11,5,7,29,27,26,20,37,24,48,46,50,51,-,,,
Table 234,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,55*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14**,14**,11**,4**,14**,5**,9**,32**,26**,26**,22**,40*,25**,52*,50*,54*,55*,-**,,,
Table 234,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,2,7,1,3,9,6,3,7,11,5,15,13,15,15,-,,,
Table 234,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,-,-,2,2,*,-,1,2,1,3,1,1,3,2,3,3,-,,,
Table 234,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,-,5,1,3,8,4,3,4,10,3,12,11,12,12,-,,,
Table 234,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,2,-,2,1,3,7,7,7,6,13,9,17,17,17,18,-,,,
Table 234,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,6,2,4,1,2,12,9,12,6,11,9,15,16,16,16,-,,,
Table 234,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-,1,1,1,4,4,4,2,5,3,5,4,5,5,-,,,
Table 234,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,7,2,5,2,3,16,13,16,9,16,11,20,20,21,21,-,,,
Table 234,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,2.54,2.39,3.22,3.21,2.53,2.9,2.72,2.67,2.42,2.94,2.78,2.68,2.89,2.82,2.87,2.87,-,,,
Table 234,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.81,0.97,1.71,1.31,1.45,1.07,1.11,1.14,0.96,1.22,1.03,1,1.08,0.99,1.07,1.06,-,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,52,23,29,17,17,14,11,5,3,2,26,11,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,55*,27**,27**,16**,16**,16**,13**,4**,3**,2**,23**,11**,11**,9**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 7th to 10th May 2020,NET: Trust,7,5,3,2,2,4,2,-,-,-,4,1,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 7th to 10th May 2020,5 - Trust completely,1,1,-,1,1,-,-,-,-,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 7th to 10th May 2020,4,6,4,3,1,1,4,2,-,-,-,3,1,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 7th to 10th May 2020,3,24,13,11,8,8,7,5,1,2,2,8,6,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Celebrity and/or social media influencer,ONLINE Fieldwork: 7th to 10th May 2020,2,15,5,10,5,5,3,4,1,2,-,8,2,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
