table,question,date,response,BBC - TV,BBC - Radio,BBC Online/ app,ITV,STV,UTV,ITV Wales,Channel 4,Channel 5,Sky,Newspapers (printed),Newspapers (online),Advertising,Commercial Radio,Podcasts,Direct from World Health Organisatio n (WHO) website/ email/text/ post,Direct from NHS website/ email/text/ post,Direct from Government website/ email/text/ post,Official scientists,Direct from Local health service website/ email/text/ post,Direct from Local council website/ email/text/ post,Facebook,Twitter,Instagram,Snapchat,YouTube,WhatsApp,WhatsApp group(s),Facebook messenger,Apple iMessage,Search engine (e.g. Google),"Websites/ apps of online news organisatio ns like Buzzfeed, Huffington Post, Vice, etc.",Websites or apps that bring together news from different news providers,"Nonmainstream news sources such as Russia Today, Breitbart, Swawkbox etc",Email,"Smart speaker (e.g. Amazon Echo, Google Home)",Family and friends directly,People in your local area/ neighbourho od,Other 1,Other 2,Other 3,BBC Alba,S4C,RTÉ,"""Broadsheet s"" such as The Times or Guardian ( printed )","""Mid-market tabloids"" such as The Daily Mail or Daily Express ( printed )","""Red-top tabloids"" such as The Sun or Daily Mirror ( printed )","""Broadsheet s"" such as The Times or Guardian ( online )","""Mid-market tabloids"" such as MailOnline or Express ( online )","""Red-top tabloids"" such as The Sun or Mirror ( online )",Magazines,Cool FM,Community Radio,Direct from UK Government website/ email/text/ post,Direct from Scotland Government website/ email/text/ post,Direct from Wales Government website/ email/text/ post,Direct from Northern Ireland Government website/ email/text/ post,Celebrity and/or social media influencer,"“Broadsheet s"" such as The Times or Guardian ( printed )","""Mid-market tabloids” such as MailOnline or Express ( online )","Local sources across TV, radio and online","Nonmainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc","Smart speaker/ display (e.g. Amazon Echo, Google Home)","Direct Mail, e.g. leaflets or other types of information that you get through the letterbox","Flyers, e.g. leaflets that you may be given or find when out and about","Stickers, e.g. on lamp posts or other places in your neighbourho od"
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,4,,,,,,,,,,,,,,,,,,239,73,73,89,74,57,23,10,66,25,29,17,7,124,86,106,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,3,,,,,,,,,,,,,,,,,,95,16,16,44,238,135,60,43,81,66,53,62,9,153,120,177,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,2,,,,,,,,,,,,,,,,,,18,4,1,4,184,77,50,12,36,22,21,15,7,38,48,41,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,,,,,,,,,,,,,,,,,,5,2,3,3,76,10,11,5,9,17,14,10,2,6,10,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,,,,,,,,,,,,,,,,,,24,6,4,7,259,87,61,18,45,39,35,24,9,44,58,49,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Mean,,,,,,,,,,,,,,,,,,4.2,4.27,4.28,4.02,2.58,2.91,2.74,2.87,3.18,2.9,2.97,3.01,3.07,3.39,3.13,3.26,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,,,,,,,,,,,,,,,,,,0.86,0.81,0.79,0.86,0.92,0.84,0.92,0.83,0.94,1.03,1.06,0.98,1.09,0.86,0.87,0.83,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,88,558,190,54,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,86,555,189,55,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,51,282,56,46,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,9,86,9,21,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,42,196,47,25,3,-,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,27,219,81,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,5,44,43,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,11,10,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,8,55,52,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,3.56,3.54,3.02,4.2,4.1,4.47,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.9,0.91,0.93,0.74,0.8,1.04,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,1123,408,515,575,56,38,33,226,119,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,94,130,80,224,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,1125,398,501,592,55,36,27,214,119,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,93,129,87,215,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,811,319,405,432,46,30,22,170,93,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,69,59,36,154,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,274,115,150,144,15,12,10,54,29,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,1,17,10,6,27,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,4,537,203,255,288,31,18,12,116,64,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,52,50,30,127,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,3,218,58,73,142,9,6,4,33,23,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,22,45,30,52,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,2,66,18,15,13,-,-,1,11,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,3,19,18,7,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,30,4,8,6,-,-,-,1,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,6,2,2,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,96,21,23,18,-,-,1,12,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,3,25,21,9,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.85,4.03,4.04,3.93,4.12,4.18,4.15,3.99,3.99,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.38,4.14,3.9,3.3,3.22,3.79,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.94,0.84,0.84,0.81,0.66,0.69,0.83,0.8,0.74,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,0.39,0.73,0.96,0.95,0.74,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,,,,,,,,,,,,,70,246,59,78,226,,142,113,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,85,36,11,51,302,56,24,13,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,,,,,,,,,,,,,73,239,56,68,222,,131,107,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,84,43,13,53,293,54,20,12,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,,,,,,,,,,,,,19,156,26,58,210,,116,100,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,22,22,11,38,226,51,20,11,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,,,,,,,,,,,,,8,33,5,31,135,,61,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,7,1,11,107,33,12,6,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,4,,,,,,,,,,,,,11,123,21,27,75,,55,47,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,20,16,10,27,119,19,8,5,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,3,,,,,,,,,,,,,33,73,23,6,11,,11,7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,38,17,2,14,36,1,-,2,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,2,,,,,,,,,,,,,10,9,6,2,1,,4,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,16,4,-,1,22,1,-,-,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,,,,,,,,,,,,,11,1,-,2,-,,-,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,1,-,1,9,-,-,-,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,,,,,,,,,,,,,21,10,6,4,1,,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,23,4,-,1,31,1,-,-,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Mean,,,,,,,,,,,,,2.91,3.75,3.46,4.22,4.55,,4.32,4.39,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,2.94,3.56,3.97,3.89,4,4.56,4.6,4.39,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,,,,,,,,,,,,,1.16,0.76,0.81,0.96,0.61,,0.76,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.94,0.9,0.52,0.78,1.03,0.63,0.5,0.72,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,,,,,,,,,,,,,,,,,,,,,,560,263,135,43,186,121,89,100,23,315,246,338,41,197,69,607,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,,,,,,,,,,,,,,,,,,,,,,561,259,140,49,187,127,97,107,24,312,241,338,42,199,73,610,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,,,,,,,,,,,,,,,,,,,,,,96,70,40,18,66,39,24,32,10,153,85,142,20,78,39,363,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,,,,,,,,,,,,,,,,,,,,,,17,12,13,4,15,11,7,8,2,36,9,22,2,14,10,114,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,4,,,,,,,,,,,,,,,,,,,,,,79,58,28,14,51,28,17,24,8,117,76,120,17,64,29,249,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,3,,,,,,,,,,,,,,,,,,,,,,252,127,53,15,91,57,47,39,8,123,105,142,10,86,28,203,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,2,,,,,,,,,,,,,,,,,,,,,,161,46,33,10,21,27,21,28,6,29,33,48,8,22,4,39,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,,,,,,,,,,,,,,,,,,,,,,52,15,14,6,9,4,5,8,-,7,19,6,5,13,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,,,,,,,,,,,,,,,,,,,,,,212,61,46,16,30,31,26,36,6,36,52,54,12,35,6,44,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Mean,,,,,,,,,,,,,,,,,,,,,,2.73,3.02,2.95,2.99,3.22,3.11,3.01,2.96,3.25,3.47,3.1,3.31,3.12,3.22,3.56,3.7,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,,,,,,,,,,,,,,,,,,,,,,0.92,0.91,1.09,1.15,0.93,0.94,0.95,1.04,0.92,0.9,0.95,0.86,1.15,0.97,0.91,0.87,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,6,1,,,,,,,,,,,,,,,,,32,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,9,1,,,,,,,,,,,,,,,,,34,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,8,1,,,,,,,,,,,,,,,,,11,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5,1,,,,,,,,,,,,,,,,,3,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3,-,,,,,,,,,,,,,,,,,8,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,-,,,,,,,,,,,,,,,,,12,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,,,,,,,,,,,,,,,,,8,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,,,,,,,,,,,,,,,,,3,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,-,,,,,,,,,,,,,,,,,11,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.43,5,,,,,,,,,,,,,,,,,2.97,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.71,-,,,,,,,,,,,,,,,,,1.1,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,1324,405,637,618,52,42,35,312,106,439,270,577,91,193,63,145,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,1348,392,617,662,66,32,37,328,112,442,278,558,95,198,58,134,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,1032,319,474,478,50,21,27,255,77,315,157,224,32,120,30,117,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
