,classifier,questions,response,All persons %,Most deprived %,2nd quintile %,3rd quintile %,4th quintile %,Least deprived %,All persons LCL,All persons UCL,Most deprived LCL,Most deprived UCL,2nd quintile LCL,2nd quintile UCL,3rd quintile LCL,3rd quintile UCL,4th quintile LCL,4th quintile UCL,Least deprived LCL,Least deprived UCL
16,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","During Year 11, did your school offer you any of the following to help you catch up on learning missed due to COVID-19 disruption/ or to support you if you had to stay at home?",My school offered this to me [note 3],26,31,28,24,24,24,25,28,29,33,25,30,22,27,22,27,21,26
18,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Extra one-to-one or individual tuition or support arranged by school,"My school offered this to me, and I took it up",21,26,21,19,20,18,20,22,24,28,19,24,17,22,17,22,16,20
19,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Extra one-to-one or individual tuition or support arranged by school,"My school offered this to me, but I didn't take it up",14,13,14,15,13,12,13,15,12,15,12,16,13,17,11,15,10,14
20,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Extra one-to-one or individual tuition or support arranged by school,"No, not offered to me by my school",65,61,64,66,67,71,64,67,59,63,62,67,63,68,64,70,68,73
21,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Extra one-to-one or individual tuition or support arranged by school,My school offered this to me [note 3],35,39,36,34,33,29,33,36,37,41,33,38,32,37,30,36,27,32
23,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Extra tuition or support in pairs or small groups arranged by school,"My school offered this to me, and I took it up",26,29,29,23,25,24,25,27,27,31,26,31,20,25,23,28,21,26
24,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Extra tuition or support in pairs or small groups arranged by school,"My school offered this to me, but I didn't take it up",19,17,17,20,19,20,18,20,15,19,15,19,18,23,16,21,18,23
25,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Extra tuition or support in pairs or small groups arranged by school,"No, not offered to me by my school",56,54,55,57,56,56,54,57,52,57,52,57,54,60,53,59,53,59
26,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Extra tuition or support in pairs or small groups arranged by school,My school offered this to me [note 3],44,46,45,43,44,44,43,46,43,48,43,48,40,46,41,47,41,47
28,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","Additional in-person classes or support on top of your usual timetable - for example, before or after school or at lunchtimes","My school offered this to me, and I took it up",31,33,31,29,29,29,29,32,31,36,29,33,27,32,26,32,26,32
29,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","Additional in-person classes or support on top of your usual timetable - for example, before or after school or at lunchtimes","My school offered this to me, but I didn't take it up",19,20,18,21,18,20,18,20,18,21,16,20,19,23,16,20,18,23
30,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","Additional in-person classes or support on top of your usual timetable - for example, before or after school or at lunchtimes","No, not offered to me by my school",50,47,51,50,53,51,49,52,45,49,49,54,47,53,50,56,48,54
31,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","Additional in-person classes or support on top of your usual timetable - for example, before or after school or at lunchtimes",My school offered this to me [note 3],50,53,49,50,47,49,48,51,51,55,46,51,47,53,44,50,46,52
33,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","Additional online classes you could watch, re-watch or join from home, on top of your usual timetable","My school offered this to me, and I took it up",14,20,16,12,10,10,13,15,18,22,14,19,10,14,9,12,8,12
34,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","Additional online classes you could watch, re-watch or join from home, on top of your usual timetable","My school offered this to me, but I didn't take it up",11,13,13,12,9,9,10,12,12,15,11,14,10,14,8,10,7,11
35,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","Additional online classes you could watch, re-watch or join from home, on top of your usual timetable","No, not offered to me by my school",75,67,71,76,81,81,73,76,64,70,68,74,73,79,78,83,78,84
36,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","Additional online classes you could watch, re-watch or join from home, on top of your usual timetable",My school offered this to me [note 3],25,33,29,24,19,19,24,27,30,36,26,32,21,26,17,21,16,21
39,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Additional classes during school holidays or at weekends – either online or in person,Agree strongly,45,50,46,44,43,41,44,46,47,52,44,49,42,47,40,45,38,44
40,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Additional classes during school holidays or at weekends – either online or in person,Agree slightly,34,29,33,34,37,38,33,35,27,31,30,35,32,37,34,39,36,41
41,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Additional classes during school holidays or at weekends – either online or in person,Neither agree nor disagree,10,10,10,10,10,9,9,11,9,12,9,12,9,12,8,12,7,10
42,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Additional classes during school holidays or at weekends – either online or in person,Disagree slightly,5,5,5,6,6,6,5,6,4,5,4,6,5,8,5,7,5,7
43,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Additional classes during school holidays or at weekends – either online or in person,Disagree strongly,4,3,4,3,4,5,3,4,3,4,3,5,3,4,3,5,4,7
44,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Additional classes during school holidays or at weekends – either online or in person,Not applicable,2,3,2,2,1,1,2,2,2,4,2,3,1,3,1,2,1,2
45,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Additional classes during school holidays or at weekends – either online or in person,Agree - strongly or slightly [note 3],79,79,79,79,79,79,78,80,77,80,77,81,76,81,77,81,77,81
46,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",Additional classes during school holidays or at weekends – either online or in person,Disagree - strongly or slightly [note 3],9,8,9,10,10,11,9,10,7,9,7,10,8,11,8,11,9,13
48,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",My progress during Year 11 has suffered as a result of the disruption caused by COVID-19,Agree strongly,12,12,12,11,12,14,12,13,11,13,10,13,10,13,11,14,12,16
49,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",My progress during Year 11 has suffered as a result of the disruption caused by COVID-19,Agree slightly,26,22,23,28,27,29,25,27,20,24,21,25,26,30,25,29,27,32
50,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",My progress during Year 11 has suffered as a result of the disruption caused by COVID-19,Neither agree nor disagree,21,23,22,21,18,18,20,22,22,25,20,24,19,23,16,20,16,20
51,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",My progress during Year 11 has suffered as a result of the disruption caused by COVID-19,Disagree slightly,22,21,22,22,24,25,22,23,20,23,20,23,20,24,22,26,23,28
52,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",My progress during Year 11 has suffered as a result of the disruption caused by COVID-19,Disagree strongly,16,17,17,15,17,13,15,17,16,19,15,19,13,17,15,19,11,14
53,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",My progress during Year 11 has suffered as a result of the disruption caused by COVID-19,Not applicable,3,5,4,3,2,2,3,3,4,5,3,5,2,4,1,3,1,3
54,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",My progress during Year 11 has suffered as a result of the disruption caused by COVID-19,Agree - strongly or slightly [note 3],38,34,35,39,39,43,37,39,32,36,33,37,37,42,37,42,40,46
55,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",My progress during Year 11 has suffered as a result of the disruption caused by COVID-19,Disagree - strongly or slightly [note 3],38,38,39,37,41,38,37,39,36,40,36,41,34,39,38,43,35,40
57,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","I felt prepared for the education, job or training course when I started it in September 2021",Agree strongly,11,11,11,10,10,14,11,12,10,12,9,12,9,12,9,12,12,16
58,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","I felt prepared for the education, job or training course when I started it in September 2021",Agree slightly,24,21,24,24,25,25,23,25,20,23,22,26,22,26,22,27,23,28
59,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","I felt prepared for the education, job or training course when I started it in September 2021",Neither agree nor disagree,18,19,18,19,19,16,18,19,18,21,17,20,17,21,17,21,14,19
60,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","I felt prepared for the education, job or training course when I started it in September 2021",Disagree slightly,24,23,23,25,26,24,23,25,22,25,21,25,23,27,24,28,22,27
61,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","I felt prepared for the education, job or training course when I started it in September 2021",Disagree strongly,19,21,21,19,18,18,18,20,19,23,19,23,17,21,16,20,16,20
62,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","I felt prepared for the education, job or training course when I started it in September 2021",Not applicable,3,4,3,3,3,2,3,3,3,5,2,4,2,4,2,4,1,3
63,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","I felt prepared for the education, job or training course when I started it in September 2021",Agree - strongly or slightly [note 3],35,33,35,34,35,39,34,36,31,34,33,37,32,37,32,38,36,42
64,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","I felt prepared for the education, job or training course when I started it in September 2021",Disagree - strongly or slightly [note 3],43,44,43,44,44,43,42,44,42,46,41,46,41,47,41,46,40,45
66,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have been able to catch up on learning I missed as a result of the COVID-19 pandemic,Agree strongly,13,18,16,13,10,9,13,14,17,20,14,17,11,15,9,12,8,11
67,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have been able to catch up on learning I missed as a result of the COVID-19 pandemic,Agree slightly,21,23,23,21,19,16,20,22,22,25,21,25,19,24,17,22,14,18
68,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have been able to catch up on learning I missed as a result of the COVID-19 pandemic,Neither agree nor disagree,24,23,25,25,24,24,23,25,22,25,23,27,23,28,22,27,21,26
69,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have been able to catch up on learning I missed as a result of the COVID-19 pandemic,Disagree slightly,17,15,15,17,19,21,16,18,14,16,13,16,15,19,17,21,19,23
70,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have been able to catch up on learning I missed as a result of the COVID-19 pandemic,Disagree strongly,21,15,18,20,24,28,20,22,13,16,16,20,18,23,22,27,26,31
71,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have been able to catch up on learning I missed as a result of the COVID-19 pandemic,Not applicable,3,5,4,3,3,2,3,4,4,6,3,5,2,4,2,4,1,3
72,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have been able to catch up on learning I missed as a result of the COVID-19 pandemic,Agree - strongly or slightly [note 3],34,42,38,34,30,26,33,35,40,44,36,41,32,37,27,32,23,28
73,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have been able to catch up on learning I missed as a result of the COVID-19 pandemic,Disagree - strongly or slightly [note 3],38,30,33,37,43,49,37,39,28,32,31,35,35,40,41,46,46,52
75,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have fallen behind my classmates as a result of the COVID-19 pandemic,Agree strongly,10,13,12,9,8,7,9,11,12,14,10,13,8,10,6,9,6,9
76,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have fallen behind my classmates as a result of the COVID-19 pandemic,Agree slightly,17,18,18,17,17,16,17,18,17,20,16,20,15,19,15,19,14,18
77,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have fallen behind my classmates as a result of the COVID-19 pandemic,Neither agree nor disagree,25,26,25,26,23,25,24,26,24,28,23,27,24,28,21,25,22,27
78,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have fallen behind my classmates as a result of the COVID-19 pandemic,Disagree slightly,14,11,12,14,16,17,13,15,10,13,10,13,12,16,14,18,15,19
79,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have fallen behind my classmates as a result of the COVID-19 pandemic,Disagree strongly,18,16,18,18,20,22,18,19,15,18,16,20,16,20,18,22,20,24
80,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have fallen behind my classmates as a result of the COVID-19 pandemic,Not applicable,16,16,16,16,17,14,15,16,14,17,14,18,14,18,15,19,12,16
81,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have fallen behind my classmates as a result of the COVID-19 pandemic,Agree - strongly or slightly [note 3],27,31,30,26,24,23,26,28,29,33,28,32,24,29,22,27,21,26
82,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?",I have fallen behind my classmates as a result of the COVID-19 pandemic,Disagree - strongly or slightly [note 3],32,27,30,32,36,38,31,33,26,29,28,32,30,35,33,38,36,41
84,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","My current school, employer or training provider is providing additional support to help me catch up on any learning lost during the COVID-19 pandemic",I feel a lot more motivated,9,11,11,8,8,6,8,9,9,12,9,12,7,9,7,10,5,7
85,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","My current school, employer or training provider is providing additional support to help me catch up on any learning lost during the COVID-19 pandemic",I feel a little more motivated,16,17,15,15,16,17,15,17,15,18,14,17,14,17,14,18,15,19
86,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","My current school, employer or training provider is providing additional support to help me catch up on any learning lost during the COVID-19 pandemic",My motivation has stayed the same,24,23,25,26,22,25,23,25,22,25,23,27,23,28,20,24,23,28
87,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","My current school, employer or training provider is providing additional support to help me catch up on any learning lost during the COVID-19 pandemic",I feel a little less motivated,27,25,27,27,28,27,26,28,24,27,25,29,25,29,26,30,25,30
88,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","My current school, employer or training provider is providing additional support to help me catch up on any learning lost during the COVID-19 pandemic",I feel a lot less motivated,24,24,23,24,26,25,23,25,22,26,21,25,22,26,24,28,23,27
89,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","My current school, employer or training provider is providing additional support to help me catch up on any learning lost during the COVID-19 pandemic",I feel more motivated [note 3],25,27,26,24,24,23,24,26,25,29,24,28,21,26,22,26,20,25
90,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","My current school, employer or training provider is providing additional support to help me catch up on any learning lost during the COVID-19 pandemic",I feel less motivated [note 3],51,49,50,51,54,52,50,52,47,51,47,52,48,54,52,57,50,55
