table,question,date,response,NET: Important,1st most important,2nd most important,3rd most important,No answer
Table 128,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 7th to 9th August 2020,Maintaining social distancing,1506,477,580,449,614
Table 128,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 7th to 9th August 2020,Wearing a face mask/ covering,1099,276,387,436,1021
Table 128,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 7th to 9th August 2020,Staying at home as much as possible,881,429,215,237,1239
Table 128,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 7th to 9th August 2020,Work from home (if possible),359,106,124,130,1761
Table 128,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 7th to 9th August 2020,Not touching your face when outside,249,53,92,104,1871
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,2189,2189,2189,2189
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,2189,2189,2189,2189
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Washing hands regularly and thoroughly,1387,478,453,456,802
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Limiting your contact with other people (including family and friends),910,322,305,282,1279
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Maintaining social distancing,1472,434,517,521,717
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Wearing a face mask/ covering,1316,371,467,478,873
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Staying at home as much as possible,831,407,219,205,1358
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Work from home (if possible),379,119,119,141,1810
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Not touching your face when outside,260,54,105,101,1929
