table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.96,0.99,0.94,1.21,0.57,1.04,1.13,0.95,0.94,0.9,1.06,0.97,0.9,0.88,0.6,1.63,0.83,0.92,0.97,0.85,0.83,0.8,0.79,1.06,0.89,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,139,73,66,9,9,15,12,19,25,59,44,36,35,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,142,74*,69*,11**,11**,17**,11**,17**,23**,64*,41*,41*,37*,23**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,64,36,28,-,-,6,5,7,10,37,20,20,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,8,4,4,-,-,-,1,2,1,4,-,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 15th to 17th May 2020,4,56,32,24,-,-,6,3,5,10,33,20,17,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 15th to 17th May 2020,3,51,24,26,5,5,7,3,9,8,20,15,12,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 15th to 17th May 2020,2,24,11,13,5,5,4,3,1,5,6,7,6,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 15th to 17th May 2020,1 - Do not trust at all,4,2,2,2,2,-,*,-,-,1,-,2,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 15th to 17th May 2020,NET: Do not trust,27,13,14,6,6,4,4,1,5,7,7,8,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 15th to 17th May 2020,Mean,3.29,3.35,3.23,2.28,2.28,3.14,3.18,3.42,3.27,3.5,3.31,3.34,3.38,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.9,0.89,0.9,0.75,0.75,0.77,1.16,0.8,0.85,0.85,0.75,0.98,0.91,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,146,74,72,8,7,16,11,25,24,62,38,39,37,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,143,74*,69*,8**,7**,17**,10**,22**,22**,64*,41*,40*,32*,30**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,64,34,30,4,4,6,3,7,8,37,19,18,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,11,4,7,1,1,1,1,3,1,4,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 29th to 31st May 2020,4,53,30,23,3,3,5,2,5,7,32,17,15,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 29th to 31st May 2020,3,54,25,29,3,2,9,3,6,10,23,15,14,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 29th to 31st May 2020,2,19,12,7,-,-,3,3,8,2,3,7,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,6,3,2,1,1,-,1,1,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,25,15,9,1,1,3,4,9,4,5,8,8,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 29th to 31st May 2020,Mean,3.31,3.26,3.38,3.34,3.42,3.25,3.01,2.95,3.17,3.55,3.31,3.29,3.2,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.94,0.95,0.93,1.14,1.28,0.81,1.22,1.15,0.93,0.78,0.88,0.92,1.07,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,133,72,61,6,6,11,11,17,25,63,44,29,34,26,8,6,13,12,12,7,3,21,19,18,7,7,,16,54,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,130,68*,62*,7**,7**,13**,11**,19**,25**,56*,45*,30**,31*,23**,6**,7**,13**,13**,13**,6**,3**,18**,18**,20**,8**,7**,,19**,47*,9**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,49,27,22,2,2,3,3,10,9,23,15,11,10,13,2,4,4,7,5,3,1,7,6,6,1,3,,7,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,13,5,8,-,-,1,-,2,2,7,2,2,3,5,1,2,-,1,2,1,-,1,3,1,-,1,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,4,36,22,14,2,2,1,3,8,6,16,12,9,7,8,1,2,4,5,3,3,1,6,2,5,1,3,,5,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,3,56,27,29,5,5,4,6,4,11,26,22,12,16,6,4,3,8,5,4,1,1,6,8,10,5,-,,8,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,2,22,12,10,-,-,6,2,3,4,6,8,7,4,3,-,-,*,1,2,2,1,4,4,4,1,3,,4,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,3,2,1,-,-,-,-,2,1,-,-,*,1,2,-,-,-,-,2,-,-,1,*,-,-,-,,*,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,25,13,12,-,-,6,2,5,6,6,8,7,5,4,-,-,*,1,4,2,1,5,4,4,1,3,,4,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.26,3.25,3.26,3.28,3.28,2.81,3.09,3.26,3.14,3.44,3.19,3.18,3.23,3.52,3.42,3.82,3.26,3.55,3.14,3.45,2.93,3.12,3.23,3.17,3.03,3.1,,3.2,3.18,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.93,0.92,0.96,0.49,0.49,0.97,0.71,1.15,1.02,0.87,0.8,0.92,0.94,1.17,0.81,0.85,0.54,0.8,1.27,1.13,1.02,0.99,1.1,0.85,0.62,1.23,,0.94,0.96,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 122,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,83,111,133,62,44,12,37,14,10,37,53,133,2,52,5,5,53,40,,,,,,,,,,,,,,,,,,,,,
Table 122,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,80*,105*,130,58*,42*,11**,37*,12**,10**,36*,51*,130,2**,50*,5**,5**,47*,42*,,,,,,,,,,,,,,,,,,,,,
Table 122,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,30,40,49,15,11,3,11,3,4,11,21,49,-,15,3,2,11,23,,,,,,,,,,,,,,,,,,,,,
Table 122,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,12,13,4,1,1,1,1,1,4,6,13,-,6,-,-,2,8,,,,,,,,,,,,,,,,,,,,,
Table 122,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,28,36,11,11,2,11,2,3,7,15,36,-,8,3,2,9,15,,,,,,,,,,,,,,,,,,,,,
Table 122,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,3,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,33,45,56,27,17,5,14,4,2,16,20,56,1,26,2,2,23,15,,,,,,,,,,,,,,,,,,,,,
Table 122,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,15,17,22,14,10,3,9,3,4,8,9,22,1,9,-,1,10,4,,,,,,,,,,,,,,,,,,,,,
Table 122,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,3,3,3,-,3,1,-,1,1,3,-,1,-,-,3,-,,,,,,,,,,,,,,,,,,,,,
Table 122,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,17,20,25,17,13,3,11,4,4,9,10,25,1,10,-,1,13,4,,,,,,,,,,,,,,,,,,,,,
Table 122,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,3.27,3.28,3.26,2.98,2.9,2.99,2.94,2.97,3.2,3.1,3.3,3.26,2.38,3.21,3.65,3.08,2.95,3.65,,,,,,,,,,,,,,,,,,,,,
Table 122,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.97,0.97,0.93,0.94,0.93,0.89,0.95,1.16,1.11,0.98,0.96,0.93,-,0.94,0.54,0.92,0.93,0.89,,,,,,,,,,,,,,,,,,,,,
Table 123,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,21,15,15,22,13,8,56,53,38,41,115,22,120,123,127,133,-,,,
Table 123,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15**,21**,14**,13**,20**,11**,8**,51*,48*,40*,38*,112,19**,115,120,123,130,-**,,,
Table 123,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,7,4,11,6,3,19,13,16,12,42,5,45,47,48,49,-,,,
Table 123,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,-,5,2,-,4,2,6,2,11,1,11,13,13,13,-,,,
Table 123,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,4,6,4,3,15,11,11,11,31,3,34,34,36,36,-,,,
Table 123,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,3,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,6,5,1,19,22,18,18,50,9,47,49,50,56,-,,,
Table 123,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,-,2,2,-,1,10,10,4,6,18,5,20,21,22,22,-,,,
Table 123,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,-,3,3,3,2,2,3,*,3,3,3,3,-,,,
Table 123,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,3,4,3,-,4,13,13,6,8,21,5,23,25,25,25,-,,,
Table 123,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,3.13,3.16,2.92,3.56,3.71,2.63,3.14,2.98,3.34,3.11,3.26,3.01,3.27,3.26,3.26,3.26,-,,,
Table 123,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,1.12,1.2,1.03,1.12,0.8,1.37,0.99,0.93,1.01,0.92,0.93,0.93,0.95,0.96,0.95,0.93,-,,,
